 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
MGNL0194,2021,SEPTIEMBRE,FRACCIONAMIENTO,Los Encinos,CALLE,Valencia / Pamplona,SI,SI,SI,SI,NO,SI,6,"25.822923, -100.591025",
MGNL0320,2021,SEPTIEMBRE,FRACCIONAMIENTO,Hacienda del Sol,CALLE,Hacienda del Moral / Hacienda del Manzano,NO,SI,NO,SI,NO,SI,2,"25.795437, -100.56364",
MGNL0195,2021,SEPTIEMBRE,FRACCIONAMIENTO,Los Encinos,CALLE,La Plaza / Zaragoza,SI,SI,SI,NO,NO,NO,0,"25.824155, -100.592059",
MGNL0324,2021,SEPTIEMBRE,FRACCIONAMIENTO,Real de San Joaquin,CALLE,Magnolia / Clavel,NO,SI,NO,SI,NO,SI,2,"25.823406, -100.599055",
MGNL0197,2021,SEPTIEMBRE,FRACCIONAMIENTO,Los Heroes Lincoln,CALLE,Rio Lech / Rio Bosna,NO,SI,NO,SI,NO,SI,15,"25.811421, -100.557447",
MGNL0005,2021,OCTUBRE,FRACCIONAMIENTO,PORTAL DE LINCOLN,CALLE,PORTAL DE LINCOLN,SI,SI,NO,SI,NO,SI,2,"25.802235, -100.541969",
MGNL0199,2021,SEPTIEMBRE,FRACCIONAMIENTO,Mirador de Garcia,CALLE,Calle Quinta / Calle Sur,SI,SI,NO,SI,NO,NO,0,"25.796823, -100.581476",
MGNL0010,2021,OCTUBRE,FRACCIONAMIENTO,SANTA MARIA SECTOR SANTA VERONICA,CALLE,SANTA VERONICA,SI,SI,SI,SI,NO,NO,3,"25.779403, -100.496066",
MGNL0235,2021,SEPTIEMBRE,FRACCIONAMIENTO,Punta Diamante,CALLE,Punta Diamante / Cuarzo,NO,NO,SI,SI,NO,SI,12,"25.790895, -100.590607",
MGNL0011,2021,OCTUBRE,FRACCIONAMIENTO,SANTA MARIA RESIDENCIAL SAN GABRIEL,CALLE,SAN GABRIEL,SI,SI,NO,SI,NO,NO,0,"25.783044, -100.489009",
MGNL0246,2021,SEPTIEMBRE,FRACCIONAMIENTO,Rincon del Fraile,CALLE,Fray Bernandino de Sahagun / Bartolome de las casas,SI,SI,SI,SI,NO,NO,0,"25.804459, -100.575299",
MGNL0013,2021,OCTUBRE,FRACCIONAMIENTO,SANTA MARIA SECTOR SANTA IRENE,CALLE,SANTA IRENE,SI,SI,SI,NO,NO,NO,0,"25.781609, -100.488482",
MGNL0250,2021,SEPTIEMBRE,FRACCIONAMIENTO,Riveras de Capellania,CALLE,Maravillas /   San Pascual,NO,SI,SI,SI,NO,SI,3,"25.801297, -100.611897",
MGNL0019,2021,OCTUBRE,FRACCIONAMIENTO,VALLE DE LINCOLN SECTOR 4,CALLE,TEZAL,SI,SI,NO,SI,NO,SI,2,"25.792192, -100.494722",
