FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
21961,2021,JUNIO,2021-06-29,MARTES,11:16:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ Y MANUEL L. BARRAGAN,"25.729245, -100.316883"
23636,2021,JULIO,2021-07-28,MIÉRCOLES,08:21:00,REVERSA,FINIQUITADO,RUTINA,RESIDENCIAL,TABACHINES,AVENIDA,LAS TORRES Y LERDO DE TEJADA,"25.758543, -100.303232"
23657,2021,JULIO,2021-07-27,MARTES,15:42:00,DIVERSO,PERITAJES,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,AV SAN NICOLAS Y MALAQUITA,"25.731887, -100.291268"
23078,2021,JUNIO,2021-06-29,MARTES,09:13:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,FIDEL VZZ  Y  MANUEL  L. BARRGAN,"25.729245, -100.316883"
21747,2021,JULIO,2021-07-28,MIÉRCOLES,09:15:00,ALCANCE,FINIQUITADO,C4,COLONIA,LA FE,AVENIDA,ACAPULCO Y GOLFO DE MEXICO,"25.722576, -100.206049"
23410,2021,JULIO,2021-07-27,MARTES,16:59:00,ESTRELLAMIENTO,FINIQUITADO,RUTINA,COLONIA,LAS MISIONES,AVENIDA,MANUEL L BARRAGAN Y SENDERO,"25.765865, -100.305457"
20611,2021,JUNIO,2021-06-30,MIÉRCOLES,21:49:00,LATERAL,FINIQUITADO,911,COLONIA,CONST DE QUERETARO,CALLE,VENUSTIANO CARRANZA Y  MANUEL AMAYA,"25.717154, -100.25256"
23606,2021,JULIO,2021-07-28,MIÉRCOLES,10:06:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,TALAVERNA C.R.O.C.,AVENIDA,UNION Y MIGUEL ALEMAN,"25.714612, -100.219434"
22952,2021,JULIO,2021-07-27,MARTES,17:42:00,LATERAL,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,FIDLE VELAZQUEZ Y  FRAY LUIS DE LEON,"25.730775, -100.309218"
22721,2021,JUNIO,2021-06-30,MIÉRCOLES,18:48:00,LATERAL,FINIQUITADO,C4,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y SORJUANA INES DE LA CRUZ,"25.739091, -100.302734"
23705,2021,JULIO,2021-07-28,MIÉRCOLES,15:17:00,LATERAL,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y PRIV FAMOSA,"25.726241, -100.29846"
23411,2021,JULIO,2021-07-27,MARTES,18:32:00,ALCANCE  CON PROYECCION,FINIQUITADO,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,ANGELES Y LINEA DE GAS,"25.70838, -100.275312"
23152,2021,JUNIO,2021-06-30,MIÉRCOLES,14:30:00,LATERAL,FINIQUITADO,911,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y FIDEL VZZ,"25.731316, -100.307952"
23038,2021,JULIO,2021-07-28,MIÉRCOLES,15:09:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CABECERA MUNICIPAL,AVENIDA,UNIVERSIDAD Y BERNARDO REYES,"25.755949, -100.296884"
23704,2021,JULIO,2021-07-27,MARTES,19:35:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,VILLA UNIVERSIDAD,AVENIDA,MANUEL L BARRAGAN Y U.A.N.L.,"25.747033, -100.310581"
21368,2021,JUNIO,2021-06-30,MIÉRCOLES,11:10:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CONST DE QUERETARO,AVENIDA,ROMULO GARZA Y  CONDUCTORES,"25.716064, -100.250321"
23658,2021,JULIO,2021-07-28,MIÉRCOLES,15:01:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y MUNICH,"25.728658, -100.301883"
23482,2021,JULIO,2021-07-27,MARTES,21:20:00,ESTRELLAMIENTO,FINIQUITADO,RUTINA,COLONIA,LOS LAURELES,CALLE,ALAMILLO # 466  Y OLMOS,"25.71876, -100.2309"
23007,2021,JUNIO,2021-06-30,MIÉRCOLES,22:25:00,ALCANCE CON 17,INVESTIGACIONES,C4,COLONIA,LAS PUENTES,AVENIDA,PUENTES Y JORGE TREVIÑO,"25.744663, -100.290738"
23383,2021,JULIO,2021-07-28,MIÉRCOLES,15:35:00,CRUCERO,FINIQUITADO,C4,COLONIA,CABECERA MUNICIPAL,CALLE,COLON Y ARTURO B DE LA GARZA,"25.753185, -100.285324"
23776,2021,JULIO,2021-07-28,MIÉRCOLES,00:55:00,ALCANCE,PERITAJES,RUTINA,RESIDENCIAL,RESIDENCIAL LAS PALMAS,AVENIDA,REP MEX Y JUAN PABLO II,"25.735581, -100.286817"
22373,2021,JUNIO,2021-06-30,MIÉRCOLES,12:28:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LAS MISIONES,AVENIDA,MANUEL L.. BARRAGAN Y LERDO DE TEJADA,"25.759318, -100.306114"
23534,2021,JULIO,2021-07-28,MIÉRCOLES,17:55:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,PARQUE STIVA,CALLE,STIVA Y MANUEL L BARRAGAN,"25.759346, -100.306363"
23978,2021,JULIO,2021-07-28,MIÉRCOLES,08:26:00,DIVERSO,PERITAJES,RUTINA,COLONIA,INDUSTRIAL NOGALAR,AVENIDA,NOGALAR Y LOPEZ MATEOS,"25.711209, -100.277666"
22737,2021,JUNIO,2021-06-30,MIÉRCOLES,12:54:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,RINCON DE ORIENTE,AVENIDA,LOPEZ MATEOS Y FUNDIDORES,"25.733371, -100.247867"
